question;correct_answer
Ordina in modo CRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>16 45 35 38 46 40;16 35 38 40 45 46
Ordina in modo CRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>49 47 36 2 9 20;2 9 20 36 47 49
Ordina in modo CRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>17 41 19 49 36 10;10 17 19 36 41 49
Ordina in modo CRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>35 7 46 25 1 39;1 7 25 35 39 46
Ordina in modo CRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>24 34 1 14 48 30;1 14 24 30 34 48
Ordina in modo CRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>36 30 15 1 45 32;1 15 30 32 36 45
Ordina in modo CRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>4 27 44 30 25 32;4 25 27 30 32 44
Ordina in modo CRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>8 12 4 13 29 28;4 8 12 13 28 29
Ordina in modo CRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>30 40 18 37 21 42;18 21 30 37 40 42
Ordina in modo DECRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>1 25 3 0 41 43;43 41 25 3 1 0
Ordina in modo DECRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>40 29 13 28 34 8;40 34 29 28 13 8
Ordina in modo DECRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>45 6 11 17 47 4;47 45 17 11 6 4
Ordina in modo DECRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>23 19 18 46 5 37;46 37 23 19 18 5
Ordina in modo DECRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>36 44 3 19 35 17;44 36 35 19 17 3
Ordina in modo DECRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>17 40 24 38 10 37;40 38 37 24 17 10
Ordina in modo DECRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>29 19 45 34 13 3;45 34 29 19 13 3
Ordina in modo DECRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>29 17 48 8 0 30;48 30 29 17 8 0
Ordina in modo DECRESCENTE i segenti numeri mettendo uno spazio tra uno e l'altro:<br>28 38 39 44 23 12;44 39 38 28 23 12
